"","job_title","company_name","job_location","job_description"
"1","Nutrition Services Manager - $10k Sign-On Bonus Available","Encompass Health Rehabilitation Hospital of Midland Odessa","Midland, TX","Midland, TX3+ years experienceClinical excellencePersonal triumphsBE THE CONNECTION.Be the seamless connection between your compassion and expertise and compelling, positive patient outcomes with a national rehabilitation leading hospital. Passionate about making a difference in the lives of others on an everyday basis, we foster a culture of compassion and collaboration. We offer exceptional career resources, including opportunities for skill-building, training, education, and development. As the nationwide rehabilitation leader, we operate rehabilitation hospitals, outpatient rehabilitation hospitals, outpatient clinics, and home health and hospice services in 36 states and Puerto Rico.Nutrition Services ManagerEncompass Health Rehabilitation Hospital of Midland OdessaMidland, TX$10,000 Sign-On Bonus with a Two-Year CommitmentJoin our organization and enjoy: Opportunities to make inspiring contributionsOutstanding compensationMedical, dental, vision plans that are customizable to fit your needsFlexible spending account for healthcare and dependent careGenerous time-off plans for eligible employeesContinuing education: A full complement of continuing-education courses and a wide variety of career development opportunities401(k) plan with match for full-time and part-time employeesThe Nutrition Services Manager plans, directs and coordinates the activities of the Nutrition Services Department to provide nutritional services to patients as well as employees and guests. The position establishes policies and procedures to provide administrative direction for cafeteria management, food preparation, distribution, service, budgeting, purchasing, sanitation standards, safety practices, staffing and staff development. In addition, the Manager may assist Dietitian with nutrition assessments if qualified.The Manager is responsible for helping to create an environment and culture that enables the department to fulfill its mission by meeting or exceeding its goals. This position will support cultural diversity by ensuring that the delivery of quality, equitable and culturally competent patient-centered care is provided; promoting and maintaining an inclusive work environment and culture that is respectful and accepting of diversity; and ensuring that cultural diversity and sensitivity training is part of new employee orientation on an on-going basis to meet the needs of the patient population served in the hospital.Licensure: CDM or Dietetic Technician registration with ADA if required by State or other regulatory agency.Current member of ADA if required by State or other regulatory agency.Education, Training and Years of Experience: Graduate of an associate degree program in food service, preferred. Must have thorough knowledge of nutrition and dietetics, administration and operation of hospital food services, and knowledge of all H.A.C.C.P. guidelines, preferred.Three years food service supervisory experience, preferably in healthcareEmail Your Resume Today and Enjoy Your Career for Years to Come.EOEJob Type: Full-time"
"2","Registered Dietetic Technician","Company Confidential","Buffalo, NY","Buffalo, NY*Responsibilities Include:*Screening new residents and baseline care plans.MDS 3.0Quarterly and Annual ReassessmentsAttend Care Plan Team MeetingsAdjust menus and resident profiles as neededAssist the Registered Dietitian as needed following up on high risk residents, i.e., wounds and weight loss.Monitor dining room serviceParticipate in Quality Improvement ProgramsOther Duties as assignedQualifications**Associates Degree in Nutrition or Dietetics, required.Registration with the American Dietetic Association, preferred.Prior dietetic experience, preferred.Job Type: Full-timeExperience:relevant: 1 year (Preferred)Work Location:One locationBenefits:Health insurancePaid time offThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focused"
"3","Nutrition & Wellness Technician","Medifast, Inc","Baltimore, MD 21230 (West Baltimore area)","Baltimore, MD 21230Overview
The Nutrition Support Dietetic Technician is a front line service position responsible for furthering the success and increasing the lifetime value of our clients by responding to their nutritional, behavioral, exercise, and product/program concerns via phone and e-mail.
The overall expectation of this position is to provide superior service and support to our coaches and clients through an understanding of nutrition, health/wellness, exercise, or behavioral strategies to optimize client success with the Medifast/OPTAVIA® programs and products.Responsibilities
Provide program and product guidance via one-on-one telephone consults, and e-mail responses taking into consideration individual client needs including age, weight, nutrient requirements, knowledge and abilities, medical, economic, and individual preferences.
Provides individual nutritional, behavioral, exercise, program and/or product support to coaches and clients.
Maintains a friendly, professional, and caring demeanor towards coaches, clients and co-workers in all forms of communications following guidelines and procedures.
Assists and educates coaches and clients on Medifast/OPTAVIA® programs, plans, Fuelings and meals, as well as other wellness topics such as weight loss, weight maintenance, and exercise and behavior modification.
Working in conjunction with our Registered Dietitian Nutritionist, helps to ensure that nutritionally accurate, exercise appropriate, health-promoting information is provided to Medifast/OPTAVIA® coaches and clients. Consults with the Registered Dietitian Nutritionist team as needed for best coach and client outcomes.
Supports clients from the company, particularly OPTAVIA®.
Assists with on-going support of an employee centric corporate wellness program and healthy lifestyle promotions, as well as all other duties or projects as assigned.
Provides support to include regional events, conventions, conferences, etc. as requested.Qualifications
Associate’s or Bachelor’s degree in nutrition, health or wellness field preferred OR equivalent work experience
Prefer one of the following: Registered Dietetic Technician with the Academy of Nutrition and Dietetics OR Licensed Nutritionist status in the state of Maryland OR Professional Certificationin the nutrition, health, and wellness field (ex: Certified Personal Trainer)
Ability to interpret and organize data in an effective and useful manner, ability to interpret a variety of instructions furnished in written, oral, diagram, or schedule form.
Prefer 1-3 years of dietetic or related experience (strong interest in health and wellness)
Ability to communicate effectively to audiences with a variety of knowledge/skill levels
Ability to work with confidential customer and company information
Ability to be self-directed, highly organized and proactive
Excellent listening skills
Ability to add, subtract, multiple, and divide in all units of measure, using whole numbers, common fractions, and decimals
Ability to solve practical problems and deal with a variety of concrete variables in situation
Basic computer skills and familiar with a Windows operating system
Travel up to 10%"
"4","Nutrition Services Manager","Encompass Health","Murrieta, CA","Murrieta, CA3+ years experienceThe Nutrition Services Manager plans, directs and coordinates the activities of the Nutrition Services Department to provide nutritional services to patients as well as employees and guests. The position establishes policies and procedures to provide administrative direction for cafeteria management, food preparation, distribution, service, budgeting, purchasing, sanitation standards, safety practices, staffing and staff development. In addition, the Manager may assist Dietitian with nutrition assessments if qualified.

The Manager is responsible for helping to create an environment and culture that enables the department to fulfill its mission by meeting or exceeding its goals. This position will support cultural diversity by ensuring that the delivery of quality, equitable and culturally competent patient-centered care is provided; promoting and maintaining an inclusive work environment and culture that is respectful and accepting of diversity; and ensuring that cultural diversity and sensitivity training is part of new employee orientation on an on-going basis to meet the needs of the patient population served in the hospital.

Job Code: 100082
CDM or Dietetic Technician registration with ADA if required by State or other regulatory agency.Current member of ADA if required by State or other regulatory agency.
Education, Training and Years of Experience:Graduate of an associate degree program in food service, preferred. Must have thorough knowledge of nutrition and dietetics, administration and operation of hospital food services, and knowledge of all H.A.C.C.P. guidelines, preferred.Three years food service supervisory experience, preferably in healthcare
Machines, Equipment Used:General office equipment such as telephone, copy machine, fax machine, calculator, computer.
Physical Requirements:Good visual acuity and ability to communicate.Ability to lift, push, pull and retrieve approximately 100% of the time.Ability to safely lift and carry objects weighing up to 50 pounds on a regular basis.Ability to safely push/pull objects weighing up to 150 pounds on wheels, with assistance, if necessary. The push/pull weight will be based on a loaded maximum weight of 300 pounds per cart.Ability to demonstrate safe retrieval skills from above the head to floor level with objects up to 50 pounds.Ability to withstand prolonged standing and walking.Ability to reach, stoop, bend, kneel, and crouch are required for patient care functions and in setting up and monitoring equipment.
Compliance:Adheres to the company's Standards of Business Conduct.Maintains current licensure and/or certifications, if applicable.
Skills and Abilities:Ability to speak, read, write, and communicate effectively.Ability to coordinate, analyze, observe, make decisions, and meet deadlines in a detail-oriented manner.Ability to work independently without supervision.
Environmental Conditions:Indoor, temperature controlled, smoke-free environment. Occasional outdoor exposure.Exposure or potential exposure to blood and body fluids may be required.Handicapped accessible.Wet surfaces and sharp objects and high noise levels possibleHot and cold temperatures extremesMay work under stressful circumstances at times.
Proficiency or Productivity Standards:Meets established attendance standards.Adheres to hospital/department dress code including wearing ID badge.May be required to work weekdays and/or weekends, evenings and or night shifts if needed to meet deadlines.May be required to work on religious and/or legal holidays on scheduled days/shifts.Will be required to work as necessary during disaster situations, i.e., before, during or after a disaster.May be required to stay after workday to assist after a disaster situation until relief arrives.May be required to perform other duties as assigned by supervisor.
Address: 35470 Whitewood Road, Murrieta 92563Shift: Day JobSchedule: Full-timeJob ID: 1920828"
"5","Nutrition Assistant - Allenmore","Multicare Health System","Tacoma, WA","Tacoma, WA2+ years experienceThe reasons to work at MultiCare are as unique as the people who do. Join us for the professional challenges you seek. In the settings you prefer. With schedules that fit your life. Learn more at www.multicarejobs.orgPosition Summary
Staff are responsible for processing meal orders, monitoring diet orders for appropriate menu modification and accuracy of patient trays, visiting patients, delivery and pick-up of patient meal trays. This position works as a team member with Nursing staff, Doctors, Clinical Dietitians, Dietetic Technicians and other department staff to provide optimal nutrition care for patients. Work situations are a variety of consistent and routine functions which require organization, attention to detail and the ability to handle high-pressure situations. Internal and external contacts are general in nature. Internal contacts include staff and management. External contacts include patients, families, and the general public.Minimum Requirements
Two-year degree in nutrition or related field or two (2) years experience in a customer service oriented position
State of Washington Food Handler's CardEducation/Licenses/Certifications
High School Graduate or equivalent preferred"
"6","Dietetic Clerk","Sodexo Inc.","Los Angeles, CA 90059","Los Angeles, CA 900591+ years experienceDescription/Job Summary
Job Overview:
The Dietetic Technician organizes the patient/resident's menus to ensure accuracy of diet order, timeliness of meal service and smooth foodservice operations. Responsible for the production of meal tickets, nourishment labels and production tallies for resident/patient menus. Responds to interdepartmental telephone inquiries, maintains all office equipment and supply inventory for nutrition office. The general responsibilities of the position include those listed below, but Sodexo may identify other responsibilities of the position. These responsibilities may differ among accounts, depending on business necessities and client requirements.
General Responsibilities:
Prepares dietary information for use by kitchen personnel in preparation of foods for hospital patients.
Examines diet orders and menus received from hospital units and tallies portions and foods of general and soft diets.
Tallies quantities of specific foods, such as vegetables and meats, to be prepared in kitchen.
Marks tally on master menu to inform kitchen personnel of food requirements.
Processes new diets and changes as required.
Participates in tray line and food temperature monitoring as assigned.
May calculate diabetic diets, using calculator, and following standards established by Clinical Nutrition Manager or Dietitian.
Communicates patient needs to appropriate staff while maintaining patient confidentiality.
May answer telephone and intercom calls and relay information to kitchen concerning meal changes, complaints or patient discharge.
May prepare and deliver formula and special nourishments to unit pantries.
May visit and provide assistance with menu selection to patients.
Attends all allergy and foodborne illness in-service training.
Complies with all Sodexo HACCP policies and procedures.
Reports all accidents and injuries in a timely manner.
Complies with all company safety and risk management policies and procedures.
Participates in regular safety meetings, safety training and hazard assessments.
Attends training programs (classroom and virtual) as designated.
May perform other duties and responsibilities as assigned.
Job Qualifications:
Experience/Knowledge:
High School diploma, GED, or equivalent experience.
1 year experience in hospital or extended care facility.
Skills/Aptitude:
Presents self in a highly professional manner to others and understands that honesty and ethics are essential.
Ability to maintain a positive attitude.
Ability to communicate with co-workers and other departments with professionalism and respect.
Maintains a professional relationship with all coworkers, vendor representatives, supervisors, managers, customers, and client representatives.
Ability to use a computer.
Basic food-handling skills.
License/Qualifications
Certifications:
May require a valid driver's license
Must be registry eligible for dietetic technician.
General Qualifications:
Willingness to be open to learning and growing.
Maturity of judgment and behavior.
Maintains high standards for work areas and appearance.
Maintains a positive attitude.
Ability to work a flexible schedule helpful.
Must comply with any dress code requirements.
Must be able to work nights, weekends and some holidays.
Attends work and shows up for scheduled shift on time with satisfactory regularity.
Physical Requirements:
Close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus, with or without corrective lenses.
Significant walking or other means of mobility.
Ability to work in a standing position for long periods of time (up to 8 hours).
Ability to reach, bend, stoop, push and/or pull, and frequently lift up to 35 pounds and occasionally lift/move 40 pounds.
Working Conditions (may add additional conditions specific to defined work location):
Generally in an indoor setting; however, may supervise outside activities and events.
Varying schedule to include evenings, holidays, weekends and extended hours as business dictates.
While performing the duties of this job, the employee is primarily in a controlled, temperate environment; however, may be exposed to heat/cold during support of outside activities.
The noise level in the work environment is usually moderate to loud."
"7","Food and Nutrition Services Director","Lake Lodge Nursing & Rehabilitation","Lake Worth, TX 76135 (Far West area)","Lake Worth, TX 76135Position Summary:
The overall purpose of the Food and Nutrition Services Director position is to plan, develop, direct, and control the activities of the Food and Nutrition Services Department. This position is responsible for maintaining food service standards, policy and procedure, food and nutrition services staff, equipment, systems, regulatory requirements, and work areas, while providing the highest available quality of food service for residents.
Position Responsibilities:
The specific responsibilities of this position are described in the Essential Functions.
Qualifications/Experience/Requirements:The Food and Nutrition Services Director must meet one of the following within 90 days of hire:
A person who has completed the Certified Dietary Manager program and exam or must complete the program and pass the exam within one year of hire.
A certified food service manager.
Has similar national certification for food service management and safety from a national certifying body.
Has an associate’s or higher degree in food service management or in hospitality, if the course study includes food service or restaurant management, from an accredited institution of higher learning.
A qualified Dietitian
A graduate of a dietetic or dietetic technician program approved by the Academy of Nutrition and Dietetics, or the Association of Nutrition and Foodservice Professionals, whether conducted by correspondence or in a classroom.
Management/supervisory experience are necessary.
Experience in a long-term care setting is preferred.
Highly developed communication and interpersonal skills are needed.
Functional literacy in English is required.
Ability to train, supervise and direct food and nutrition services personnel in their proper duties and nutrition services procedures and techniques.
Must be knowledgeable of current regulatory Standards.
Vision must be adequate to read menus, recipes, spreadsheets etc.
Basic computer skills to include computer entry of food order, computer use for tray card program, and email.
Essential Functions:Develops and maintains standards for purchasing, storing, preparing and serving of food.
Establishes and maintains procedures to meet safety and sanitation standards in order to assure compliance with all governmental regulations.
With the administrator, establishes departmental goals and objectives.
Plans and administers departmental budget, including staffing levels.
Plans and directs regular schedule of work activities and assignments to assure effective food service to clients which may include working shifts in the kitchen, as budget allows.
Provide orientation, direct and train food and nutrition services personnel to ensure all standards of food handling procedures are properly followed and good sanitation and safety practices are being performed.
Supervise food preparation (ensure recipes are followed, use of proper cooking techniques and correct food presentation).
Order and budget control of food, supplies and supplements. Complete inventory as needed.
Monitor tray service and dining room (accurate food temperatures, portions, diets, and meal acceptance) and monitoring equipment maintenance.
Make daily rounds in assigned areas and evaluate food and nutrition services for areas of improvement or follow up.
Participate in the Interdisciplinary Team care planning conferences, Food Committee Meetings Resident Council Meetings (as requested), and QAPI.
With consultant dietitian, monitors nutritional status of residents using regular assessments, progress notes, and dietary care planning.
Prepares timely reports as may be requested/required by federal, state, community agencies, etc.
Develops and conducts, in conjunction with the consultant dietitian, regular in-service education to increase staff skills and knowledge.
Adjusts recipes/menus to meet nutritional requirements of residents with approval of consultant dietitian.
Assures correct procedures are followed in food preparation and inspects quantity, quality, temperature, and appearance of food prior to serving.
Evaluates resident acceptance of menu items and makes substitutions available as requested or required.
Establishes and maintains records/receipts regarding dietary operations.
With consultant dietitian, develops, establishes, and maintains nutritional care plans for residents.
Meets with DON or designee on weekly basis to discuss nutritional needs for residents through clinical care meetings
Responsible for providing job-specific orientation with all new food and nutrition service employees.
Maintains accurate and up to date information of diet orders, food and beverage preferences, food allergies and other meal-related information of tray card system.
Performs other duties/tasks as may be assigned.
Functions within the constraints of established policy and procedure consistent with accepted nutritional, food and nutrition services standards.
Is assigned responsibility/authority for decisions regarding food and nutrition services activities, but may consult with the administrator, consultant dietitian, or other resources as may be necessary or appropriate.
Attend required in-service training.
Communicates in a professional and courteous manner using effective verbal and non-verbal communication skills with residents, their families, and co-workers.
Maintains confidentiality of department, resident, employee information, communication, and documentation as well as compliance with the Health Insurance Portability and Accountability Act (HIPAA) regulations.
Clocks in and out for all working/training hours. Working off the clock will not be permitted at any time or for any reason.
Maintain compliance with Daybreak’s Compliance program and plan.
Adhere to the Daybreak Code of Conduct
These duties are not all-inclusive but provide minimum performance expectations and will be reviewed in the performance process."
"8","Nutrition Assistant","University of California San Francisco Medical Cen...","San Francisco, CA","San Francisco, CAPart-time1+ years experienceUnder the supervision of the Registered Dietitian (RD), the Nutrition Assistant provides food and nutrition services for patients according to established standards in the assigned area. The assistant is responsible for overall patient satisfaction with the food services.
Primary duties include validating screening information, assisting patients with the menu ordering and item selection, monitoring tolerance to diet, coordination and customer services related to meals and snacks, documenting care provided, and providing basic diet education.

Required Qualifications

One year experience as a dietetic technician, registered or diet clerk
Dietetic Technician, Registered credential with maintenance of continuing education needed to maintain DTR credential
AA or Bachelor's Degree in Nutrition and Dietetics
Academic & applied background in clinical nutrition
Good written and verbal communication skills; to understand and be understood in English
Ability to adapt to changes in work duties and hours and days of work, including work on weekends and holidays across multiple campuses
Experience with using computers for daily tasks and communication
The flexibility to orient and work at all UCSF Health locations
Preferred Qualifications

Work experience including direct patient contact in a hospital, skilled nursing facility or other clinical setting
Licensure/Certification

DTR (Dietetic Technician, Registered)
Living Pride Standards

Service ExcellenceDemonstrates service excellence by following the Everyday PRIDE Guide with the UCSF Medical Center standards and expectations for communication and behavior. These standards and expectations convey specific behavior associated with the Medical Center’s values: Professionalism, Respect, Integrity, Diversity and Excellence, and provide guidance on how we communicate with patients, visitors, faculty, staff, and students, virtually everyone, every day and with every encounter. These standards include, but are not limited to: personal appearance, acknowledging and greeting all patients and families, introductions using AIDET, managing up, service recovery, managing delays and expectations, phone standards, electronic communication, team work, cultural sensitivity and competency.
Uses effective communication skills with patients and staff; demonstrates proper telephone techniques and etiquette; acts as an escort to any patient or family member needing directions; shows sensitivity to differences of culture; demonstrates a positive and supportive manner in which patients / families/ colleagues perceive interactions as positive and supportive. Exhibits team work skills to positively acknowledge and recognize other colleagues, and uses personal experiences to model and teach Living PRIDE standards.
Exhibits tact and professionalism in difficult situations according to PRIDE Values and Practices
Demonstrates an understanding of and adheres to privacy, confidentiality, and security policies and procedures related to Protected Health Information (PHI) or other sensitive and personal information.
Demonstrates an understanding of and adheres to safety and infection control policies and procedures.
Assumes accountability for improving quality metrics associated with department/unit and meeting organizational/departmental targets.
Work EnvironmentKeeps working areas neat, orderly and clutter-free, including the hallways. Adheres to cleaning processes and puts things back where they belong. Removes and reports broken equipment and furniture.
Picks up and disposes of any litter found throughout entire facility.
Posts flyers and posters in designated areas only; does not post on walls, doors or windows.
Knows where the Environment of Care Manual is kept in department; corrects or reports unsafe conditions to the appropriate departments.
Protects the physical environment and equipment from damage and theft.
The flexibility to orient and work at all UCSF Medical Center locations is required.

Equal Employment Opportunity

The University of California San Francisco is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information. Further information about the University of California, San Francisco, is available at diversity.ucsf.edu. UCSF seeks candidates whose skills, and personal and professional experience, have prepared them to contribute to our commitment to diversity and excellence, and the communities we serve."
"9","Nutrition Technician","Gundersen Health System","La Crosse, WI 54601","La Crosse, WI 54601The Nutrition Technician is the customer service liaison for patient meal ordering within the hospital. They collaborate with Registered Dietitians and members of the health care team to provide clinical nutrition care for low to moderate nutritional risk patients.
Job Responsibilities
Responsible for taking meal order calls from patients and guiding them through the ordering process.
Responsible for entering of patient specific meal orders including dietary restrictions into the Foodservice computer program.
Participates in the nutrition risk screening and monitoring of hospitalized patients according to departmental and organizational guidelines by obtaining, verifying, and documenting relevant data and information for support of nutrition assessment under the supervision of the registered dietitian (RD).
Provides basic nutrition education for low risk patients as assigned by the registered dietitian (RD).
Works as a part of an interdisciplinary team in achieving and implementing departmental and organizational goals.
Participates in quality improvement activities, contributes ideas and demonstrates a commitment to make improvements in the quality of services provided by Gundersen Health System.
Performs other job-related responsibilities as requested.
Scope of the Job
Age Specific Population Served Geriatric (65 years & older)
Pediatric (1 - 12 years)
Adolescent (13 - 17 years)
Adult (18 - 64 years)OSHA Category Category III - No employees in this job title have a reasonably anticipated risk of occupational exposure to blood and/or other potentially infectious materials.
Position Qualifications
Education and Experience:
Required High School Diploma or equivalency
Desired
Work Experience:
Required No experience required.
Desired 1 year of health care experience.
Skills:
Required Ability to...
Computer Systems/Software/Applications basic computer skills
Communication demonstrate effective customer service to internal and external customers
Communication written and oral communication skills
Communication understand written and oral instructions
Desired Ability to...
License and Certifications
Required Registered Dietetic Technician (DTR) or
Registered as a Dietitian with Commission on Dietetic Registration (RD) or
Certified Dietary Manager (CDM) within 2 years of employmentDesired
Physical Requirements/Demands of the Position
Sitting Frequently (34-66% or 5.5 hours)
Static Standing Continually (67-100% or 8 hours)
Walking/Standing Continually (67-100% or 8 hours)Driving
Stooping/Bending Occasionally (6-33% or 3 hours)Squatting Occasionally (6-33% or 3 hours)Kneeling/Half Kneel Occasionally (6-33% or 3 hours)Climbing Stair Occasionally (6-33% or 3 hours)Climbing Ladder
Reaching - Shoulder Level Continually (67-100% or 8 hours)Reaching - Below Shoulder Continually (67-100% or 8 hours)Reaching - Above Shoulder Continually (67-100% or 8 hours)Repetitive Actions - Pinch Forces Pounds of force:
Repetitive Actions - Grip Forces Pounds of force:
Repetitive Actions - Fine Manipulation Frequently (34-66% or 5.5 hours)
Balance - Right Leg
Balance - Left Leg
Lifting - Floor to Waist Number of lbs:
Lifting - Waist to Overhead Number of lbs:
Lifting - Other Number of lbs:
Carrying - Long Carry (>50 feet) Number of lbs:
Carrying - Short Carry Number of lbs:
Carrying - Right Carry Number of lbs:
Carrying - Left Carry Number of lbs:
Carrying - Push/Pull (Static Force) Number of lbs:
Other:Number of lbs:
Environmental Conditions
Not substantially exposed to adverse environmental conditions (as in typical office or administrative work).Nutrition Technician
Equal Opportunity Employer"
"10","Dietetic Research Technician","Massachusetts General Hospital(MGH)","Boston, MA 02114 (Back Bay-Beacon Hill area)","Boston, MA 02114Part-timeUnder direct supervision of the Metabolism & Nutrition Research Director/Manager and within hospital and departmental guidelines, the Research Diet Technician (RDT) performs a broad range of responsibilities to support research studies on the Translational Clinical Research Centers (TCRC) on WHT 12/13 and other MGH sites. The RDT will fulfill metabolic kitchen activities including service of standard and specialized meals/snacks based on the approved research protocol, research participant needs and unit standards while maintaining quality food service standards for safety and sanitation. Documentation and data entry of food intake will be completed by the RDT. The RDT will assist research dietitians in the completion of metabolic assessments and other assigned activities.
In direct collaboration with the Research Diet Technician Team Lead and the Research Registered Dietitian, the RDT will fulfill the responsibilities of the position.
PRINCIPAL DUTIES AND RESPONSIBILITIES:Research participant meal/snack service
Maintains daily meal board with updates throughout the day to communicate participant meal and snack requirements per protocol.
Assists research participants with menu selections and processes menus using computerized menu system. Demonstrates knowledge and skills necessary to provide age-appropriate (toddler to elder) nutrition care appropriate to the participant population served in the research unit.
Prepares and serves research meals and snacks to inpatient and outpatient research participants. Manages tray delivery and pick-up.
Identifies and reports pertinent information from research participant contacts to research dietitian regarding food acceptance, preferences and menu selections.
Assists in the development, including tasting, of recipes and meals according to research protocol specifications.
Monitors and documents food intake.
Metabolic kitchen equipmentOperates and maintains equipment according to manufacturer and unit standards for safety and sanitation – microbalance scale, gram scales, refrigerators, freezers, dish machine, electric stove top/oven, and miscellaneous small equipment.Performs daily/weekly equipment calibration and documentation. Reports deviations to Research Diet Technician Team Lead.Monitors dish washer, refrigerator and freezer temperatures. Reports deviations to Research Diet Technician Team LeadCompletes daily, weekly and monthly cleaning of the metabolic kitchen. Maintains hospital and public health sanitation standards throughout the kitchen.
Weighed mealsWeighs, measures, prepares, labels and stores all foods, beverages and nutrient supplements using prescribed methods for the research diet and according to a specified meal plan.Completes meal pack-outs for research participants to include all appropriate food items for all research meals.Monitors and reinforces food intake for compliance to special meals and informs research dietitian of refusal. May need to re-weigh special foods.Weighs research “products” that may include peanut flour, oat flour, milk powder, amino acids or other “products”. Maintains documentation of inventory for special food or research “products”.
Metabolic kitchen food and supply inventoryCompletes standard food and non-food supply inventory and requisition; and picks-up food items/ingredients.Monitors food quality including expiration date, temperature control, labeling and storage.Ensures that food and non-food supplies are available for next day production.
Data entry and calculation of food intake
· Ensures accurate data entry of food and supplement intake from food records, 24 hr. recalls or other nutrient intake assessment tools using the research nutrient database with adherence to standardized procedures.Maintains nutrient database files including identifiers such as participant ID and research study. May assist in data back-up and output.Completes nutrient calculations consistent with protocol standards.
Assists research dietitiansUnder guidance of a research, registered dietitian (RD), will assist in supporting participant flow, metabolic nutrition assessments, supply stocking, equipment cleanliness, visit set-up and other assigned duties.Completes data entry corrections of food and supplement intake.
Other responsibilitiesMay assist in the orientation and training of new employees, nutrition students and dietetic interns.May assist Research Diet Technician Team Lead in completion of assigned responsibilities.Completes other duties as assigned.

Qualifications

SKILLS/ABILITIES/COMPETENCIES REQUIRED:Food preparation proficiency including food procurement, recipe adherence, food presentation, equipment operation and safety/sanitation.Computer proficiency – word processing, including spreadsheets and experience with nutrition database software, menu processing software or similar program(s).Must be able to perform simple math skills for weighing foods using a metabolic (gram) scale, maintain inventory and measuring fluids.Maintains strong and effective working relationship with co-workers including nutrition staff, other unit and study staff.Effective interpersonal and communication skills as an individual and team member with co-workers, nursing, research participants and study staff.Able to provide compassionate care to diverse participant population incorporating religious, personal, or cultural food practices.Must possess a positive attitude and ability to use reasoning in isolating a problem and reach a sound conclusionMust be able to lift at least 25-30 lbs and must be able to stand for periods of time.Works independently and able to meet deadlines.Able to organize and coordinate work; complete tasks efficiently with high attention to details and procedures. Uses job knowledge, judgment, initiative and follow through. Knows when to seek advice.Must be honest, accurate, dependable and accountable for precise research data. Errors may result in research participant harm, increased cost, time lost and inconvenience to research participants, unit and study staff.
LICENSES, CERTIFICATIONS, and/or REGISTRATIONS:ServSafe certification within the initial 6 months of employment.CITI certification as an employee involved in research.BLS certification.
EDUCATION:BS degree or minimum of 2 years college credits with emphasis in Nutrition or related field highly desirable.
EXPERIENCE:Food service and/or nutrition related experience required for minimum of 1-2 years.
FISCAL RESPONSIBILITY:None, other than time management and resource utilization, such as supplies.
WORKING CONDITIONS:Kitchen environment with computer on patient care area supporting inpatients and outpatients.Equipment operation, exposure to cleaning agents and food waste.Fast paced and often stressful environment with numerous time deadlines.Ability to work in a fast paced and challenging environment.Daily contact with research participants in a patient care environment.May complete activities at research locations other than WHT 12/13.

EEO Statement

Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.

Primary Location: MA-Boston-MGH Main Campus
Work Locations: MGH Main Campus 55 Fruit Street Boston 02114
Job: Health Technician/Technologist
Organization: Massachusetts General Hospital(MGH)
Schedule: Part-time
Standard Hours: 32
Shift: Day Job
Posted Shift Description: Weekdays and possible weekend coverage Variable hours.
Employee Status: Regular
Recruiting Department: MGH Clinical Research Center
Job Posting: Aug 12, 2019"
