job_title,count,cant_use
Dietetic Technician,45,
Nutrition and Food Services Manager,30,
Nutrition Services Manager - $10k Sign-On Bonus Available,29,
Diet Technician,29,
Dietetic Technician FT Days,23,
"Registered Dietitian - Mental Health, Residential",22,X
Registered Dietitian RD or Registered Dietetic Technician DTR,17,
Registered Dietetic Technician,16,
Registered Dietitian,13,
Diet Clerk,11,
Dietetic Technician - Vanderbilt Psychiatric Hospital,8,
Clinical Dietitian,8,X
Food and Nutrition Services Manager I Christopher House,8,
Nutrition Assistant,5,
Dietitian,5,
Certified Dietary Manager,4,
Dietary Technician,4,
"Food and Nutrition Manager (CDM) or Dietetic Technician Registered*** 3,000 Sign On Bonus***",3,
Food and Nutrition Services Director,3,
"Dietetic Technician, Registered",2,
Nutrition Care Specialist (68M),2,
Registered Dietitian or Dietetic Technician Needed,2,
Dietetic Technician 1,2,
Nutrition Informatics Analyst,2,
Dietetic Technician - Limited Term 1.0 FTE,2,
Clinical Dietitian - Nutrition Services,2,X
Registered Diet Technician,2,
PATIENT SERVICES MANAGER,2,
"COORDINATOR, NUTRITION",2,
NUTRITION COORDINATOR,2,
CLINICAL DIETITIAN,2,X
Culinary Director,2,
Pediatric Registered Dietitian,2,X
PATIENT SERVICES MANAGER - Upstate Medical,2,
PATIENT SERVICES MANAGER (LEAD),2,
"Registered Dietitian (Community Based) - Cradle Cincinnati, 32 Hours/Week",2,X
"REGISTERED DIETITIAN, temporary",2,X
Senior Registered Dietitian,2,X
WIC Director/Nutritionist II-Repost,2,X
Dietetic Clerk,1,
Dietetic Research Technician,1,
Nutrition & Wellness Technician,1,
Nutrition Assistant - Allenmore,1,
Nutrition Center Technician,1,
Nutrition Services Manager,1,
Nutrition Technician,1,
Dietitian Specialist 1*,1,X
Food and Nutrition Services Supervisor,1,
Food Data & Nutrition Specialist,1,
Health Technician (Dietetic),1,
Nutritionist (WIC) - 303 Baseline,1,X
Dietetic Technician | Nutrition Services,1,
Dietetic Technician Cleveland Pines,1,
Dietetic Technician Formula and Human Milk Preparation Part-Time,1,
Food and Nutrition Services (Healthcare),1,
NUTRITION & DINING SERVICES TECHNICIAN II - Host/Patient Meal Service,1,
US Army - Nutrition Care Specialist,1,
Dietetic Technician - Days,1,
Nutrition Services Tech,1,
Supervisor-Nutritional Service,1,
Dietetic Technician - Clinical Nutrition Services,1,
Dietetic Technician II,1,
Food Services Coordinator (Supervisory),1,
WIC Nutritionist,1,X
ARMY Nutrition Care Specialist 68M,1,
Dietetic Tech Registered- YVMC Nutrition- Full-Time,1,
Dietetic Technician - Nutrition Services,1,
Nutrition Service Supervisor,1,
Research Dietitian,1,X
DIETETIC TECHNICIAN,1,
Dietitian-Clinical Dietetics-Methodist,1,X
Food and Nutrition Services Supervisor- Patient Services,1,
Nutrition Consultant,1,
Nutrition Lab Technician,1,
"Nutrition Technician I, 1pm-7pm, Rotating Sat+Sun,+variable shifts =Avg 15hrs/wk",1,
Registered Dietician Outpatient Childhood and Adolescent Weight Managemnt,1,X
